song_id,count,user_id
7vZGeHBfxU0,0,0
J2x0JtEFKXg,0,0
Bu7bMJ-5-kM,0,0
vXuEU4Dv_bo,0,0
EmNknjuSpcg,0,0
s-Qq8yjTCHY,0,0
vPRonG87eKw,0,0
vODFo1kSlgE,0,0
eq5gjfN5lns,0,0
iqL0LKuuWKc,0,0
PwXai-sgM-s,0,0
tvMoteOdPBA,0,0
l97xELhvYBQ,0,0
jMBisq2b3yQ,0,0
FfBP2UNcMX8,0,0
OciWTvRnHfw,0,0
y02sJS26_XE,0,0
5hucTDV1Fvo,0,0
NfDEEyg3AdA,0,0
ORycSTm1BbI,0,0
5_qo4mkNSUw,0,0
tVT2YUdjEUs,0,0
GXOlgRBCPrk,0,0
Hh6yk98jjUc,0,0
xFLfdusIb8w,0,0
AiuC_CaObbI,0,0
fKKNPLowteY,0,0
8HON4AswPVk,0,0
Pu94mWlgzMY,0,0
DG9_pVQaJKY,0,0
WbrjRKB586s,0,0
LXyvQ5TAOsY,0,0
gaEyWhwXC7c,0,0
8EBMDYU9GIk,5,1
Gf3tpU4-P54,4,1
vqAZJ02ouEs,4,1
9qidNf0ijxQ,4,1
XpGQWcgWXdA,4,1
aPqddGxQ7iY,4,1
XmYgwASTZ8Q,4,1
wmwK5l73_AQ,4,1
qHZJXgOfdnQ,4,1
9PvIIn6cc1M,3,1
jPtLPk1mUMw,3,1
PJYr8iJgTzU,3,1
uCUpvTMis-Y,3,1
yYNJmEDQ8pY,3,1
tQnlUdUJC_M,3,1
kqmjw2tyBo8,3,1
tG5nNtib88U,3,1
lBdXLRl2g2E,3,1
jxKjOOR9sPU,3,1
xF9LEB3-k_s,3,1
IJKHt4yZZ10,3,1
1zXOcXnD8XU,3,1
1-_PpsTS1_E,3,1
W7yI6bafIzg,3,1
gKaYR7lqJVw,3,1
Gwj2O8sFvVQ,3,1
EmCthg62iNE,3,1
TOKHdJO_u2A,3,1
UY5yBom8cPQ,3,1
msEW8E6e-MQ,3,1
T95aDYxkl6w,3,1
qySDdFLQzqU,3,1
SsnoHYX2oVM,3,1
EUTMa1CIspI,3,1
gs_7y0ToBcU,3,1
AaXaig_43lU,3,1
wRVekDWb47I,3,1
JrO46CJd9ns,3,1
Cux2qJjApGA,2,1
Q7GX9PRvf_M,2,1
PqvLXtOOaJQ,2,1
7pWiEb9aBxw,2,1
eURi0nZCbys,2,1
ZyQVRbEhuRo,2,1
CdBt3n1MtFM,2,1
DYWlQT1PB3I,2,1
NqKHgmFBPXU,2,1
nU4OIAYwo5g,2,1
MrMAfMbZOmg,2,1
DY22UqSZib4,2,1
WpRU8FnSqCE,2,1
QKJ00ib3ivo,2,1
NbNPJr_0tqA,2,1
Vl-GJaitlNs,2,1
5b48zpQlLDI,2,1
bV_QeJ3qLFk,2,1
VEFvpYuFZAI,2,1
JcVDXHeD59c,2,1
4-dv3fSor6g,2,1
y8sNsHw3Id0,2,1
NOaMCbmFzvI,2,1
8HnLRrQ3RS4,2,1
Wpm07-BGJnE,2,1
nFOG3n-R304,2,1
LcfOPf8rHNM,2,1
Ik7owCuJANQ,2,1
sS76eS34Y0c,2,1
fFHR164mnjg,2,1
RSYbfC4gbSo,2,1
Kbj2Zss-5GY,2,1
fKFbnhcNnjE,2,1
iyJcG0xA8J0,2,1
uo3rZjJB1hY,2,1
5dcQd6nifWU,2,1
muLpBoRpc3s,2,1
FmUDe7P0fzg,2,1
Y33IZ9tZH2Y,2,1
3_11CVfRLbA,2,1
PEEhL9LaX4E,2,1
zfGR21DOSzk,2,1
rZkPJ9LMiwA,2,1
uuteq7FQ-VM,2,1
syWGrce2_sw,2,1
xj5Y03j5nmk,2,1
-drnt1AKRfw,2,1
YhcoLO8vZZU,2,1
cp8sSx06Bds,2,1
Uno7f5IGAPI,2,1
eppa0RXRU-I,2,1
Pm59hpXdl7w,2,1
evHVh4bqaOQ,2,1
Sni1Cw5VyqU,2,1
U7vfmd2jlhY,2,1
YOevVCHWV90,2,1
tSPuS9jpgmw,2,1
ntYGLzpCUzg,2,1
jV57sz3_UKo,2,1
yP0SSJN5Qbg,2,1
cN-RwnufBR0,2,1
QspuCt1FM9M,2,1
yqat2OsabjI,2,1
wBtg7Vu4yDQ,2,1
5IGJkd0fNGU,2,1
iAeYPfrXwk4,2,1
FEp5B9VZnjg,2,1
J5SdTeijDhY,2,1
plkSmYeLy3w,2,1
KLhLSH4t1Do,2,1
LAVTMcBRujo,2,1
UnzGHeqYRLM,2,1
eHGhiF9nDuM,2,1
wUWPBhKUsKw,2,1
fzCct3j-pH8,2,1
qn_jePJTIRk,2,1
iuf3rD_pczs,2,1
CWz7zABB3nQ,2,1
-pbymsLp0qg,2,1
COz9lDCFHjw,2,1
hDi2lIg4Fzk,2,1
wA_DgKoJogM,2,1
YQlJCxJaNTE,2,1
OKqC7ebSKFo,2,1
MIyPOAxuQg8,2,1
cN9uAv8Me7w,2,1
5YLmEzYTZr0,2,1
u94LYtmW0gU,2,1
tsp7IOr7Q9A,2,1
3tnb2o-cV_0,2,1
85Z3FR09-Yc,2,1
gG2RTa7Sybg,2,1
56sk8DyZFuE,2,1
5_lKAb2MD64,2,1
U9BwWKXjVaI,2,1
4ay4S61byZo,1,1
iEe_eraFWWs,1,1
sIQ2atEdfII,1,1
LhgkuuFsg0Y,1,1
CMTyMI85-gk,1,1
Hmc_97wLMrI,1,1
oVLNvUblZLk,1,1
h8P-d0RV2Mk,1,1
hJBi780qFas,1,1
nfI7PJMK8WQ,1,1
ojCikI9npJQ,1,1
0eGA-7lvo6E,1,1
DrMcLGqHyP4,1,1
vsYHJ1ijoik,1,1
XKQNJzquduI,1,1
5XNp4MuO-N8,1,1
Sgpvh5CWtz4,1,1
v46-riPHKvU,1,1
ESISUS9TzYc,1,1
gi2aozfVBa0,1,1
08qd-vsHbaY,1,1
g7Z7yXoIIJ0,1,1
5fNhD_lP1F4,1,1
C1-jlBC2up8,1,1
cwqtK2wSjpY,1,1
HdykFz8gqag,1,1
m2LFI6abQI4,1,1
2_vOX3s9f_w,1,1
vI8cDhfSiNE,1,1
cZREMxw4aCk,1,1
9PODnRarD78,1,1
Ixrje2rXLMA,1,1
zK1mLIeXwsQ,1,1
2TEnXTg-gXU,1,1
Cdp-HHSaj8Q,1,1
ECyeUYsU14E,1,1
zHjCpNpeO7Y,1,1
CsxUY0pLnsc,1,1
Uc57OKGTDXk,1,1
NoUzejokhjo,1,1
QHLWGRJwA28,1,1
F7h7_Q4V1jU,1,1
8QgOGl5Oes0,1,1
iSlmF5rziaQ,1,1
G3gljLeEzps,1,1
XTSVROl6b94,1,1
0--pvoJ19Og,1,1
Ns_0zp00UQk,1,1
5DfYpMZct5M,1,1
4sk0uDbM5lc,1,1
mwMjhWn3OQ4,1,1
PrNPJ3uT8bM,1,1
h2FfEwfY4wY,1,1
GfUkCK9mEzk,1,1
cRqDmOnkYXg,1,1
Kb24RrHIbFk,1,1
Anu5yh403Fs,1,1
tPr9Jo6YHDk,1,1
xRgWpsVdJ2w,1,1
Iz0e2K2fHS4,1,1
obvf95aCyWs,1,1
VvN26FBIcwQ,1,1
0GIWWFdOw_0,1,1
WXoovNrN_Bo,1,1
76O3w4pt0CA,1,1
0JfgH42XgRg,1,1
wOwblaKmyVw,1,1
KvknOXGPzCQ,1,1
